Modelo      Ano       1       2       3       4       5       6       7       8       9      10
--------  -----  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------
ADM          18  536800  509608  409125  410340  295087  307735  405888  584599  620423  537696
ADM          19  568563  606961  184087  565195  536800  523339  384218  620423  584599  537696
ADM          20  749291  583841  606961  436949  523339  409125  584599  671013  297441  324829
ADM          21  177363  606961  779019  565195  179880  436949  619311  533140  544734  749291
ADM          22  565195  517179  660227  567173  606961  749291  337017  616276  568563  346745
HAM1         18  406111  160028  411070  616219  622070  749416  359353  529339  779228  180622
HAM1         19  605646  533689  621747  334505  749416  174541  412852  307076  529339  779228
HAM1         20  587060  376246  619311  525941  605646  593158  666724  529339  307076  189739
HAM1         21  174147  367372  539820  369011  559363  616276  700250  543356  177444  540186
HAM1         22  540906  630396  587060  432199  542822  358911  510342  308661  646474  540186
HAM2         18  409125  295087  509608  384218  536800  307735  405888  620423  584599  537696
HAM2         19  565195  409125  533140  523339  749291  536800  384218  584599  620423  537696
HAM2         20  577466  779019  565195  533140  523339  409125  671013  584599  297441  324829
HAM2         21  606961  563757  179880  568563  604978  184041  436949  544734  749291  533140
HAM2         22  599516  619311  660227  567173  749291  307406  606961  568563  565195  346745
