POS,Clube,Estado,Pontos dim. 3,Pontos dim. 4,Pontos dim. 5
1,Fluminense / RJ,RJ ,1500,1500,1500
2,Corinthians / SP,SP ,1497,1496,1495
3,Vasco / RJ,RJ,1494,1492,1490
4,São Paulo / SP,SP ,1491,1488,1485
5,Grêmio / RS,RS,1488,1484,1480
6,Internacional / RS,RS,1485,1480,1475
7,Flamengo / RJ,RJ,1482,1476,1470
8,Palmeiras / SP,SP ,1479,1472,1465
9,Santos / SP,SP ,1476,1468,1460
10,Cruzeiro / MG,MG,1473,1464,1455
11,Coritiba / PR,PR,1470,1460,1450
12,Atlético / MG,MG,1467,1456,1445
13,Atlético / PR,PR,1464,1452,1440
14,Botafogo / RJ,RJ,1461,1448,1435
15,Vitória / BA,BA,1458,1444,1430
16,Goiás / GO,GO,1455,1440,1425
17,Bahia / BA,BA,1452,1436,1420
18,Atlético / GO,GO,1449,1432,1415
19,Sport / PE,PE,1446,1428,1410
20,Avaí / SC,SC,1443,1424,1405
21,Ceará / CE,CE,1440,1420,1400
22,Náutico / PE,PE,1437,1416,1395
23,Portuguesa / SP,SP ,1434,1412,1390
24,Ponte Preta / SP ,SP ,1431,1408,1385
25,Figuereinse / SC,SC,1428,1404,1380
26,Guarani / SP,SP ,1425,1400,1375
27,Paraná / PR,PR,1422,1396,1370
28,Grêmio Barueri / SP,SP ,1419,1392,1365
29,América / MG,MG,1416,1388,1360
30,ABC / RN,RN,1413,1384,1355
31,ASA / AL,AL ,1410,1380,1350
32,Fortaleza / CE,CE,1407,1376,1345
33,Criciúma / SC,SC,1404,1372,1340
34,São Caetano / SP,SP ,1401,1368,1335
35,Ipatinga / MG,MG,1398,1364,1330
36,Bragantino / SP,SP ,1395,1360,1325
37,Paysandu / PA,PA,1392,1356,1320
38,América / RN,RN,1389,1352,1315
39,Santo André / SP ,SP ,1386,1348,1310
40,Brasiliense / DF,DF,1383,1344,1305
41,Guaratinguetá / SP,SP ,1380,1340,1300
42,Icasa / CE,CE,1377,1336,1295
43,Boa / MG,MG,1374,1332,1290
44,Vila Nova / GO,GO,1371,1328,1285
45,Duque de Caxias / RJ,RJ,1368,1324,1280
46,Caxias / RS,RS,1365,1320,1275
47,Chapecoense / SC,SC,1362,1316,1270
48,Santa Cruz / PE,PE,1359,1312,1265
49,Juventude / RS,RS,1356,1308,1260
50,CRB / AL,AL ,1353,1304,1255
51,Joinville / SC,SC,1350,1300,1250
52,Luverdense / MT,MT,1347,1296,1245
53,Sampaio Corrêa / MA,MA,1344,1292,1240
54,Águia de Marabá / PA,PA,1341,1288,1235
55,Salgueiro / PE,PE,1338,1284,1230
56,Madureira / RJ,RJ,1335,1280,1225
57,Rio Branco / AC,AC,1332,1276,1220
58,Treze / PB,PB,1329,1272,1215
59,Campinense / PB,PB,1326,1268,1210
60,Macaé / RJ,RJ,1323,1264,1205
61,Horizonte / CE,CE,1320,1260,1200
62,Remo / PA,PA,1317,1256,1195
63,Marília / SP,SP ,1314,1252,1190
64,Brasil / RS,RS,1311,1248,1185
65,Tupi / MG,MG,1308,1244,1180
66,Oeste / SP,SP,1305,1240,1175
67,Guarany / CE,CE,1302,1236,1170
68,Cuiabá / MT,MT,1299,1232,1165
69,Gama / DF,DF,1296,1228,1160
70,Penarol / AM,AM,1293,1224,1155
71,CSA / AL,AL ,1290,1220,1150
72,Araguaína / TO,TO,1287,1216,1145
73,Uberaba / MG,MG,1284,1212,1140
74,CENE / MS,MS,1281,1208,1135
75,Mixto / MT,MT,1278,1204,1130
76,Corinthians / PR,PR,1275,1200,1125
77,Vilhena / RO,RO,1272,1196,1120
78,Comercial / PI,PI,1269,1192,1115
79,São Raimundo / PA,PA,1266,1188,1110
80,Paulista / SP,SP ,1263,1184,1105
81,Confiança / SE,SE,1260,1180,1100
82,Nacional / AM,AM,1257,1176,1095
83,River Plate / SE,SE,1254,1172,1090
84,Metropolitano / SC,SC,1251,1168,1085
85,Mirassol / SP,SP,1248,1164,1080
86,Bahia de Feira / BA,BA,1245,1160,1075
87,Trem / AP,AP,1242,1156,1070
88,Alecrim / RN,RN,1239,1152,1065
89,Central / PE,PE,1236,1148,1060
90,Operário / PR,PR,1233,1144,1055
91,Ceilândia / DF,DF,1230,1140,1050
92,Cerâmica / RS,RS,1227,1136,1045
93,Volta Redonda / RJ,RJ,1224,1132,1040
94,São Mateus / ES,ES,1221,1128,1035
95,São Domingos / SE,SE,1218,1124,1030
96,Cianorte / PR,PR,1215,1120,1025
97,Santa Cruz / RN,RN,1212,1116,1020
98,Vitória da Conquista / BA,BA,1209,1112,1015
99,Corinthians / AL,AL ,1206,1108,1010
100,Coruripe / AL,AL ,1203,1104,1005
101,Independente / PA,PA,1200,1100,1000
102,Brusque / SC,SC,1197,1096,995
103,Flamengo / PI,PI,1194,1092,990
104,CRAC / GO,GO,1191,1088,985
105,Fast Clube / AM,AM,1191,1088,985
106,Marcílio Dias / SC,SC,1188,1084,980
107,Sousa / PB,PB,1185,1080,975
108,Cristal / AP,AP,1182,1076,970
109,São José / RS,RS,1178,1072,965
110,Rio Branco / ES,ES,1175,1068,960
111,Brasília / DF,DF,1172,1064,955
112,Ypiranga / RS,RS,1172,1064,955
113,Naviraiense / MS,MS,1172,1064,955
114,Barras / PI,PI,1172,1064,955
115,Gurupi / TO,TO,1169,1060,950
116,Friburguense / RJ,RJ,1166,1056,945
117,Itumbiara / GO,GO,1163,1052,940
118,Baraúnas / RN,RN,1160,1048,935
119,Itabaiana / SE,SE,1157,1044,930
120,Vila Aurora / MT,MT,1154,1040,925
121,Atlético Roraima / RR,RR,1154,1040,925
122,Botafogo / PB,PB,1151,1036,920
123,Bangu / RJ,RJ,1151,1036,920
124,Americano / RJ,RJ,1151,1036,920
125,Anapolina / GO,GO,1148,1032,915
126,Iraty / PR,PR,1145,1028,910
127,Petrolina / PE,PE,1142,1024,905
128,América / AM,AM,1142,1024,905
129,Potiguar MO / RN,RN,1139,1020,900
