h,a
1,2
3,4
5,6
7,8
9,10
11,12
13,14
15,16
17,18
19,20
6,17
4,13
14,1
20,3
16,5
12,9
8,15
2,11
10,19
18,7
17,12
3,6
19,8
15,2
13,10
11,4
9,20
7,16
5,14
1,18
16,17
4,5
6,9
12,3
8,11
10,1
18,19
14,15
2,7
20,13
11,18
7,6
17,9
14,4
1,12
13,8
15,20
3,10
19,16
5,2
4,8
6,15
16,20
12,19
9,3
2,14
10,7
5,11
18,13
1,17
3,5
19,1
20,12
15,10
8,18
13,6
11,9
2,4
7,17
14,16
3,19
17,11
6,14
16,8
9,13
10,2
7,4
5,12
18,20
1,15
8,6
4,18
13,17
11,16
14,7
20,1
2,3
19,5
15,9
12,10
3,11
17,19
6,12
16,4
8,14
9,5
10,20
7,15
18,2
1,13
4,6
20,8
15,3
12,14
13,19
11,7
9,1
2,16
5,17
18,10
4,15
19,9
17,3
6,11
16,10
8,2
13,12
7,20
1,5
14,18
3,1
20,2
17,14
6,19
12,4
11,13
9,16
10,8
5,7
18,15
4,20
19,11
15,12
16,18
8,17
13,5
2,9
7,3
1,6
14,10
3,13
10,4
9,8
11,1
12,7
6,16
17,15
20,14
19,2
5,18
4,1
20,6
15,11
16,13
8,12
2,17
10,5
7,9
18,3
14,19
3,14
19,15
17,10
6,18
12,16
13,2
11,20
9,4
5,8
1,7
4,17
20,5
15,13
16,3
8,1
2,12
10,6
7,19
18,9
14,11
1,16
19,4
17,20
6,2
12,18
13,7
11,10
9,14
5,15
3,8
